"","text","emotion","polarity"
"82","false nothing like his disability just ts way to mock anyone from cruz to a reporter","joy","negative"
"83","disability equality roadshow hits the roadread more on the launch of the roadshow here","unknown","positive"
"84","interviewsdisability advocate amp harvard laws st deaf blind graduate","unknown","negative"
"85","no words for this she is truly despicable","unknown","neutral"
"86","disability is politics especially now from 
 autism disability","unknown","positive"
"87","the cast was very respectful unlike dt who said knock the hell out of em lock her up mo","sadness","negative"
"88","i feel that people with a learning disability with the right support can achieve great things hereiam","joy","positive"
"89","did u know if you have a private disability policy you are required to apply for social security","unknown","positive"
"90","says man who mocked a person with a disability in front of a cheering crowd","joy","negative"
"91","you will never get a apology as soon as you apologize for mocking my husband with a disability then maybe i wont sue you","sadness","negative"
"92","call for paperscanadian disability studies association","unknown","negative"
"93","an irc family showingteam spirit teamirc ircfallfestival disability community fun family lakers","unknown","negative"
"94","theres no money for nhs housing pensions mental health care or disability benefits but as soon as liz needs a new carp","joy","neutral"
"95","bbc newsdisabled toilets when does accessible not mean accessible","unknown","negative"
"96","im a dwp call handler and have no time to care about your disability claim

honest and heartbreaking","joy","negative"
"97","now this would be all about power amp controlself lining his own pockets to get ahead thomas is a convenient ally ime","sadness","neutral"
"98","how i conquered nyc with a physical disabilityill take the perks use it dont abuse it","unknown","negative"
"99","any spoonie concerned for their health amp safety under trump should def check out this guided","unknown","neutral"
"100","disabledworldlatest disability news disabled disabilitiestop stories","unknown","negative"
"101","in excruciating pain unable to sleep yet john is still fit for workheartbreaking another dan","anger","negative"
"102","point was trump wasnt mocking the reporters disability the reporter is not spastic cnn lied","unknown","neutral"
"103","teamirc is out in full force big thank you to all of our volunteers ircfallfestival disability community fun","unknown","negative"
"104","be safe
savannah i have a powerful awe inspiring story i would like to share looking beyond my disability","joy","positive"
"105","talk about inclusion honored to be includeddedicated to recognizing accurate depictions of disa","unknown","positive"
"106","yrdsbquest the only difference between my disability and yours is that you can see mine but i cant see yoursdavi","unknown","positive"
"107","remember the side hating vpelect pence hated him for signing legislation banning abortions based on genderdisability","unknown","positive"
"108","how many disability people has matt mead destroyed from any chance to gain hope amp prosper they need which i needed we all need matt mead","unknown","positive"
"109","oh wait im sorry does openly mocking a persons disability now count as civil discourse","sadness","negative"
"110","best disability insurance for resident physicians","unknown","positive"
"111","even on a website for the disabled community theres still decentering of the disabled experience","unknown","neutral"
"112","disability rights advocates shift strategies to ensure equal rights in the digital age","unknown","positive"
"113","schools need to start encouraging kids to be okay with their creativity and not brand it as some sort of disability","unknown","neutral"
"114","tips for handling health and disability issues in the recruitment process","unknown","positive"
"115","for some of us theatre is a safe spot from things you condone like violence for being gay or mocking due to our disability","joy","neutral"
"116","the irony of course in claiming the need for understanding of a disability while typing yet","unknown","negative"
"117","autism story healing my daughterstockholm asd disability adhd se","unknown","positive"
"118","they are being cruelly rewarded by a callous government with denial of orop and cut in disability pensions","fear","negative"
"119","encouraged by the trend toward more authentic stories about disability written by people who have firsthand experi","unknown","positive"
"120","the true story donald trump did not mock a reporters disability","unknown","neutral"
"121","didnt feel privileged then dont feel privileged now skin colour isnt a privi","unknown","positive"
"122","fantastic to see two more coaches attending coach support courses today to support our disability sessions","surprise","positive"
"123","in excruciating pain unable to sleep yet john is still fit for workheartbreaking another danielblake wca","anger","negative"
"124","social security disability benefits can help many people with serious or chronic medical conditions","unknown","neutral"
"125","yng people w disability in melb are invited consultation wre focus areas for his term as commissioner","unknown","positive"
"126","attorney bathrooms with disability access bathroom radio","unknown","positive"
"127","i voted gender and disability because it was the only one that didnt click with me right away had to think on it","unknown","positive"
"128","bullseye playing darts at the pathway booth hooray for the ircfallfestival teamirc fun community disability","unknown","negative"
"129","government pledges to tackle antidisability prejudice at work","unknown","neutral"
"130","mortgage disability insurance best mortgage lender","unknown","positive"
"131","do you avoid talking to disabled people like me because its awkward heres an idea try harder","joy","negative"
"132","the only disability in life is a bad attitude","sadness","negative"
"133","i am not shocked at all this is only the start of demolishing disability progress it will get worse","sadness","negative"
"134","scott silveriif were going to be storytellers then we have to include disability mediaaccessallh","unknown","positive"
"135","mortgage net branch see our highpaying opportunities for top performers mortgage disability insurance","surprise","positive"
"136","clerk immediately said oh well not everyone fakes disability but this woman clearly is how would you know no one sees me on bad days","sadness","positive"
"137","helping a loved one with a disability can be hard so here are some tips","unknown","negative"
"138","this high school senior has made it his mission to spread love and acceptance for everyone way to movetoinclude","anger","neutral"
"139","disability and dating what happily ever after looks like to us","joy","positive"
"140","rt kawalpeet the only true disability is ur bad attitude
cause youre not disabled by the disabilities youve","sadness","negative"
"141","cornwall mp sheryll murray blasted for forcing disability bill to be binned in commons debate
read more at","unknown","negative"
"142","harassment is based on race color religion sex sexual orientationage or disability","anger","neutral"
"143","times up disability equality training bill
mps could be heard to say shameful as the debated is talked out by tory mp","unknown","negative"
"144","can you explainwhy you shamefully filibustered a bill regarding disability rights even the minister was","unknown","positive"
"145","a new device helps patients inject themselves with rheumatology drugs and is designed with hand disability in mind ht","unknown","negative"
"146","come and meet santa in his grotto here in warrington warrington disability partnership in partnership with","unknown","positive"
"147","mortgage disability income insurance understanding short and long term benefits wwwmortgage calculator","unknown","neutral"
"148","advanced disability support workervarious positionsjobs melbourne","unknown","positive"
"149","thomasautism in the workplaceaustralianstory asd disability adhd au","unknown","positive"
"150","wheres my disability check","unknown","positive"
"151","cornwall mp sheryll murray blasted for forcing disability bill to be binned in commons debatecornwall live","joy","negative"
"152","no difference anywhere else but in qld they have special approval to disobey disability discrimination act why","joy","neutral"
"153","the disability narrative of this was already thrice disproven by ann coulter","unknown","positive"
"154","you did a great job with the photography and we didnt need a government disability grant yegableg yegcomedy","joy","negative"
"155","in excruciating pain unable to sleep yet john is still fit for workaditya chakrabortty","anger","negative"
"156","the only disability in life is a bad attitude scott hamilton","sadness","negative"
"157","learning disabilitydoes it define youparenting collegejourney dadblogsabout education college passiondriven","unknown","positive"
"158","esp when i acknowledged mental health under the disability umbrella lmao ill make it more obvious next time you cunts","unknown","negative"
"159","and it is such an offensive term do they even know what they are saying when they use that word disability","disgust","neutral"
"160","research in childhood disability should aim for positive impact how do we get there","sadness","negative"
"161","the one about trump mocking disabled reporter for his disability","unknown","negative"
"162","thank you to our friends buildon for volunteering today keenchicago keenfriendship chicago disability","unknown","positive"
"163","a disability once again that would be a personal problem using food to get the love they cant get boohoo","joy","neutral"
"164","how could you help sponsor a game changing book being made disability","unknown","neutral"
"165","did you know backpain is one the topcauses of disability worldwide","unknown","positive"
"166","they even blamed trump of mocking the reporters disability after it was debunked","unknown","neutral"
"167","deciding if you want to represent yourself for your social security disability appeal case part","unknown","positive"
"168","samforbes dancingbarista is an extraordinary advocate for disability rights thanks for a great coffee date","joy","positive"
"169","cornwall mp sheryll murray blasted for forcing disability bill to be binned in commons debatevia","unknown","negative"
"170","this was a lie from the beginning had nothing to do with reporters disability he was mocking dishonest reporti","unknown","negative"
"171","maybe they will apologize after you apologize for this","unknown","positive"
"172","adult with learning disability","unknown","positive"
"173","i wonder if hook claims disability ouat","surprise","positive"
"174","so for example taking your topics gender disability bullying etc separately to start withthen expandinglinking","unknown","negative"
"175","for me theatre has always been a safe place one where who we love or disability moves to the background for me i have always felt loved","joy","positive"
"176","trump did not mock disabled man
please read entire article trump is a good man","joy","neutral"
"177","register to vote in may 
online voter registration 
bcpwdsvote disability pwd raisether","unknown","positive"
"178","i dont think that being a radical leftist spreading lies and misinformation can qualify as disability but nice spin","unknown","negative"
"179","if you make fun of any with mental disabilitiesany sort of disability in general then ur an asshole and i will gladly punch u in the face","unknown","negative"
"180","the beauty of feminist lies is they got me on disability so your tax dollars fund metrump","unknown","negative"
"181","making people poorer wont reduce the disability employment gapstopesacuts","unknown","positive"
"182","changing the perception of mental amp physical disability through the spirit of adventure gt 
life","unknown","positive"
"183","welfare especially disability finances","unknown","positive"
"184","a yearold interviewed her mother with a disabilityheres their exchangethx for this story","unknown","positive"
"185","always brings styrofoam cups of soda to school 
freestyles at lunch
is in learning disability classes","unknown","positive"
"186","stopesacuts disabled ppl to lose pw as the queen gets million to tart up buckinghampalace","unknown","negative"
"187","i dont think that being a radical leftist spreading lies and misinformation can qualify as disability but nice sp","unknown","neutral"
"188","disability possibilities are unlimited","unknown","positive"
"189","our mp sheryll murray blasted for forcing disability bill to be binned in commons debate even tory minister was","unknown","negative"
"190","nydailynews awernick those receiving disability payments can naturalize","unknown","positive"
"191","interested in helping us shapedisability policy go to debbie","unknown","positive"
"192","reasons executives should have supplemental disability insurance","unknown","positive"
"193","we must treat ms early and effectively to prevent future disability multiplesclerosis","unknown","positive"
"194","yeah its usually a persongirlboy with their disability but youre welcome","unknown","positive"
"195","shes got to go mp being rejected by her constituents


keepcornwallwhole","unknown","positive"
"196","we remembered trump mocked no one it was a crookedmedia lie trumptime","unknown","neutral"
"197","disabled toilets when does accessible not mean accessiblebbc newsthinkingdiff","unknown","negative"
"198","ive been thinking and as a person with a disability id like an apology when you made fun of the reporter w a disability","joy","neutral"
"199","youbut its also okay for others to nd i feel like stuff like this contributesto stigma of seeing disability as a bad word","joy","negative"
"200","if you become injured or ill and cant work disability insurance pays you a portion of your salary until you can","unknown","neutral"
"201","insupporting s disability equality training taxi and private hire vehicle drivers bill ht","unknown","neutral"
"202","people mad at the cast of hamilton need to chill its not like they mocked someone with a disability or bragged about sexual assault","anger","negative"
"203","frailty is not synonymous of disability geriatriaenagudos nosingeriatras","unknown","positive"
"204","social security disability may be needed for your psychiatric disorderwhat you need to know","unknown","neutral"
"205","you mean rude like this","joy","negative"
"206","its kind of a complex issue really but disability is not an inherently bad word u know it shouldnt be treated as that","joy","neutral"
"207","helpful staff review disabilityservice","unknown","positive"
"208","damian green faces fresh accusations of misleading mps over disability benefits","unknown","negative"
"209","dont mind me my disability and mental illness are just making me feel like a burden again no big deal","joy","negative"
"210","being harassed is being mocked for a disability or being touched in sexual way wo consentjust say","anger","negative"
"211","as the debate startsamp other disability charities are calling on the gov to reconsider changes to esa wrag","unknown","negative"
"212","nothing upsets me more then seeing little kids discriminated because of a disease disability people in this world are so terrible","fear","negative"
"213","hey donald why dont you and pence apologize to the gay community to the reporter with a disability you made fun of","joy","negative"
"214","tory cowards wca disability esa cuts workfaretorysmustgo toriesout","unknown","positive"
"215","disability is politics especially now","unknown","positive"
"216","disabled toilets when does accessible not mean accessible when you travel eurostar","unknown","negative"
"217","your familys best defense against disability prevention learn how your lifestyle choices can make a difference","unknown","positive"
"218","now this would be all about power amp controlself lining his own pockets to get ahead thomas is a convenient","sadness","negative"
"219","julie ferguson frommoves a motion on cuts to disability benefits amp the impact on child poverty at stucdw","unknown","negative"
"220","um arent you the guy that mocked someone with a disabilityapologizenot fairits away streethow old r u","unknown","positive"
"221","disability resource group","unknown","positive"
"222","disability not inability meet the blind ug student who topped his class withfgpapulsegha","unknown","negative"
"223","when trump mocked the disability of a reporter with a congenital disease msm should have hounded him out of the race 

they n","unknown","neutral"
"224","ways fitness saved my life as a person with a disability and diabetes by","unknown","positive"
"225","liberals literally treat women like they have some sort of disability its actually offensive","disgust","neutral"
"226","does this government want to punish us for being disabledjane campbellopinionthe guardian","unknown","neutral"
"227","mike its not easy to filmyou filmtheyll blacklist the vetyour file for disability never shows up etc","unknown","positive"
"228","debunked 
trump does armwavingpretending to be flustered person likegt a general ampted cruzh","unknown","positive"
"229","lmao uhm i think its because we know how sensitive men are about them lol small dicks like a disability mannn","joy","positive"
"230","gymmad coaches enjoyed the disability training todayimincoachingclinic","unknown","positive"
"231","i saw this on the bbc and thought you should see it

disabled toilets when does accessible not mean accessible","unknown","negative"
"232","im supposed to believe catholicstrump over cnn get out of my face","sadness","negative"
"233","its ok to see someones disability as disability isnt a bad negative tragic identity dont look past or deny see","sadness","negative"
"234","do they give those car disability things to mental disabilities because
 my mind is crazy
 i hate walking","anger","negative"
"235","disability care center scholarshipsscholarship","joy","positive"
"236","come on disability status is a basic protected class fix it","unknown","positive"
"237","interested in a job in oklahomacity ok this could be a great fithiring careerarc","joy","neutral"
"238","here is a post about sibling relationships involving developmental disabilitywriting amwriting mustread","unknown","positive"
"239","temitope okupe spoke with do much passion and enthusiasm disability didnt stop him nothing can stop youparetochange","joy","positive"
"240","rt pintsize rt kawalpeet the only true disability is ur bad attitude
cause youre not disabled by the disab","sadness","negative"
"241","before you vote on tuesday watch and share this image of trump mocking a mans disability","unknown","negative"
"242","a home solution for special education needs amp disability education only","unknown","positive"
"243","onlyof people would feel comfortable sitting next to someone with a learning disability bethechange hereiam pow","joy","positive"
"244","weve got loads of events to celebrate disability history month talks support groups amp weekly screenings","unknown","positive"
"245","confused with disability insurance vs longtermcare disability replaces incomeageltc payscare at any","unknown","negative"
"246","for all mothers this is a post about the beauty of motherhooddisability love writing amwriting mustread","joy","positive"
"247","i know i havent forgotten because i am one of those people he mocked disability ableism peoplewithdisabilities ht","unknown","positive"
"248","for the way you handled fin bar disabled guycovered his disability and made it easy for him x","joy","negative"
"249","really exciting job for an ld nurse great to see trusts such as roh investing in learning disability services","joy","positive"
"250","i cant speak to his books or character but this authors response to concerns of disability specifically autism rep","unknown","negative"
"251","this line labeling someone retarded isnt a joke its a sentence disability equality","unknown","positive"
"252","south gloucestershire disability equality network working to improve life for disabled people in the areasgden","unknown","neutral"
"253","great day withus disability centre of excellence one clean sheet two wins and","joy","positive"
"254","benefits disaster as sturgeon halts disability and welfare payments plan on the sly","unknown","negative"
"255","these tory mps just begged their own government to delay disability benefit cutsplease rt weareal","unknown","positive"
"256","being single is now a disability according to the world health organization","unknown","positive"
"257","heres how to file judicial misconduct complaints against federal judges","unknown","negative"
"258","disability feeling my way into blindness","unknown","negative"
"259","still going with that discredited narrative","unknown","positive"
"260","only prob if they are thrown out due to race color religion national origin","unknown","negative"
"261","disability and equity advocates called sessions attempts to squash school equity court order","unknown","neutral"
"262","al disability rights advocates were especially worried about sessions fight against school funding equity poor district","sadness","negative"
"263","as a student with a disability that wouldve prevented me from going to school or succeeding in college i implore you to object to his","unknown","negative"
"264","one of the biggest trump guys i know has been collecting a pension and disability since his fifties and ran a business o","unknown","positive"
"265","disab awareness training for taxi drivers","unknown","negative"
"266","ottawa disability accommodation at work overtime amp severance now onlisten","unknown","positive"
"267","hookedonphonics up for auction from path ct nonprofitdisability literacy earlylearning ctkids","unknown","positive"
"268","sometimes things in life test us and living with a chronic pain disability and other health","unknown","negative"
"269","autism a gentle and intelligent mancanberra asd disability adhd au","unknown","positive"
"270","you are not empowering parents if you keep misleading them 

autism disability mmr vaxxed aus auspol","unknown","negative"
"271","disability insurancerbc insurance home loan rates","unknown","positive"
"272","if theres one thing i hateits when someone messes wth a person with a disabilitystrongly condenm the behaviour of poli","unknown","positive"
"273","the latest disability sports list is here take a look at whats on offer including highlighted insport clubs sportca","unknown","negative"
"274","many pwd excited about the idea disability allies inclusion dream team","unknown","positive"
"275","im sickened that someone who has direct influence to young people would say this children regardless of disability ar","unknown","positive"
"276","england cricketer liam thomas loses prosthetic leg while fielding paralympics","unknown","positive"
"277","parabadminton england winmedals at european championships paralympics","unknown","positive"
"278","thanks tofor the great story on interacts th anniversary","joy","positive"
"279","gary neville donatesto help gb football teams get to deaflympics","sadness","negative"
"280","i just applied for disabilitywks ago i feel like nelson from the simpsons is about to pop up and laugh","joy","neutral"
"281","people are so dumb he was never mocking anyone with a disability the media twisted it to make it look like that","joy","negative"
"282","disco roots session alert organizing can be toxic pushing back to move forward so excited for this conversation disability","fear","neutral"
"283","what did the reporter say dont think that someone with a disability cannot be an asshole","unknown","positive"
"284","todays dpj disability daily is outfeaturing news fromcrowdfunding usrc","unknown","positive"
"285","you live with disability metal disability right","joy","positive"
"286","we can believe both of those at once the disability label isnt for everyone though","unknown","positive"
"287","rt paulaxente inclusive design that favours function over form is missing a huge opportunitydesign ux designt","unknown","neutral"
"288","im sure hed lol at the fact i was denied ssd and am still waiting for a hearing on my disability appeal this has beenyr","unknown","positive"
"289","so do i get a disability check for not being married orrr","sadness","negative"
"290","im sickened that someone who has direct influence to young people would say this children regardless of disabili","unknown","positive"
"291","i think what ill do it force myself to really work on my art while im on disability so maybe in the future i can rely on commissions","unknown","neutral"
"292","worldtoiletday finally getting media coverage for disabled toilets when does accessible not mean accessible","unknown","negative"
"293","see the person not the learning disabilityi supporthereiam steppingout","unknown","positive"
"294","yeahh but if im on disability which i hope to be as soon as possible it wont be a problem","unknown","neutral"
"295","has approxdeafblind students onlyare documented with disability support office ntidconvocation","unknown","positive"
"296","my mom just recently got disability well see for how long i guess","unknown","positive"
"297","thats been debunked samnow you owe him an apology","unknown","positive"
"298","trump mocks reporter with disability","unknown","positive"
"299","bbc newsun grave disability rights violations under uk reforms","anger","negative"
"300","disability discrimination laws do not exempt sleep disorder disabilities from protection austin","unknown","negative"
"301","do you","unknown","positive"
"302","♿️disability access update 
waitress service will be available at the game today for our fans in wheelchairs pick","joy","negative"
"303","invasion to ennis on dec nd to mark the international day for people with a disability the fun starts atand","unknown","negative"
"304","best performance by an actor or actress portraying a disability or illness is

jack nicholson one flew over the c","unknown","neutral"
"305","inclusive design that favours function over form is missing a huge opportunitydesign ux designt","unknown","neutral"
"306","but boycothamiltonget real 
trump mocks reporters disability tuesday","unknown","positive"
"307","read our testimonialcall us for free evaluation disability socialsecurity","unknown","positive"
"308","this does not look like harassment to me harassment is mocking a reporter with a disability or grabbing women by the p","anger","negative"
"309","did you know that you could be eligible for the disability tax credit and not even realize it full details here","unknown","positive"
"310","invasion to ennis for dec nd to mark the international day for people with a disability starts atuntil","unknown","positive"
"311","productive sessions with london disability talent programmes today good to spend some time working with bs great application amp attitude","joy","positive"
"312","disability amp chronic condition fam roots session alert organizing can be toxic pushing back to move forward","fear","negative"
"313","day one for our november training campdisabilityonce again hosting us ampplayers w","unknown","positive"
"314","wouldnt want to hurt anyones feelingshypocrite
trump mocks reporters disability tuesday","unknown","positive"
"315","here is a post about how we all need to have hopedisability writing amwriting mustread","unknown","negative"
"316","this beautiful post is an appreciation of mothers everywheredisability love writing amwriting mustread","joy","positive"
"317","bbc newsdisabled toilets when does accessible not mean accessibleplease read thisamp support the campaignthanks","unknown","neutral"
"318","like iep type slow learning disability","joy","neutral"
"319","see our blog for posts about the beauty of diversitydisability hope respect writing amwriting mustread","joy","positive"
"320","bathrooms with disability access bathroom radioattorney","unknown","positive"
"321","heres the proof donald trump the racist did mocked a reporter with a disability now go fuck yourself trumptards","unknown","negative"
"322","we must always remember to focus on the personnot the diagnosisdisability writing amwriting mustread","unknown","positive"
"323","this from a man who mocks someone with a disability poor little snowflake","sadness","negative"
"324","bbc newsdisabled toilets when does accessible not mean accessiblechangingplaces","unknown","negative"
"325","poverty is not a learning disability ncte","unknown","negative"
"326","chk out portraitmade of disability rights leader edroberts onsteps ada","unknown","positive"
"327","yes i have a mental disability bc i hate pokemon games","anger","neutral"
"328","special olympics chair texas standard of intellectual disability is horrific","fear","negative"
"329","who can benefit from neurofeedback trainingstockholm asd disability adhd se","unknown","positive"
"330","look at her making fun of stephen hawkings disability so rude man straighten your neck you rude bitch","unknown","negative"
"331","yeah he wasnt mocking his disabilitythe truth is available whenever youre interested","unknown","neutral"
"332","concentrate on what is about to happen to your disability under trump and gop","unknown","positive"
"333","autism definition video and imagescanberra asd disability adhd au","unknown","positive"
"334","inclusive design that favours function over form is missing a huge opportunitydesign ux designthinking","unknown","neutral"
"335","i cant speak to his books or character but this authors response to concerns of disability specifically","unknown","negative"
"336","surely cant be right","unknown","positive"
"337","votes for disability cut but dont dare build a runway or else i have a meaningless election amp then still vote for every cut","unknown","negative"
"338","prof rebecca bennett explains why there can be no moral obligation to eradicate disabilityhtt","unknown","neutral"
"339","thats not how you treat a child with an intellectual disability she was in the wrong","unknown","negative"
"340","the tories wca disability esa cuts workfaretorysmustgo toriesout","unknown","positive"
"341","they will when you do for hateful mocking of person with disability or the kahns or about muslims and about hispa","anger","negative"
"342","didnt you mock a reporters disability and not apologize","unknown","negative"
"343","session one from the disability amp chronic condition caucusam trauma amp triage self care amp radical hope roots htt","joy","negative"
"344","just mind your language i am with polio disability still support demonitization you are most corrupt worst politi","unknown","negative"
"345","government work health and disability consultation","unknown","positive"
"346","she showed those kids that what this boy has to say doesnt matter because he has a disability he has a voice that","unknown","negative"
"347","brampton artist wants to share stories of her abilities not her disability disability","unknown","positive"
"348","do you think people with disability can be developerspleaseall apps by microsoft must be a","unknown","positive"
"349","work health and disability improving lives","unknown","positive"
"350","im sure the constituents of cornwall are proud of their mp for deliberately blocking the disability equality training bill accessallareas","joy","positive"
"351","seasons of the uk apprentice amp i dont think theyve ever had a person with a visible disability whats up with that bbcapprentice","unknown","positive"
"352","i absolutely want to talk about racedisability and lgbtq ect but like as if men would not be centred in those discussions anyways","joy","positive"
"353","trump did not mock reporters disability he used that flustered hand gesture like jerry lewis used in his movies","joy","neutral"
"354","me having a service dog is not an invitation to ask about my disability thanks","unknown","negative"
"355","disability leadership in action","unknown","positive"
"356","feeling my way into blindness aessay on disability by author edward hoagland","unknown","negative"
"357","if only theyd done the decent respectable thing and mocked a disabled man for his disability","unknown","neutral"
"358","you harassed someone with a disability and you didnt apologize","anger","positive"
"359","of malesof females identify with a disability thats gtmillion people in the us codelib","joy","positive"
