Both sexes,An intellectual disability,Leinster,30273,,Region,Total persons(Both Sexes),Blindness or a serious vision impairment(Both Sexes),Deafness or a serious hearing impairment(Both Sexes),A condition that substantially limits one or more basic physical activities(Both Sexes)
Both sexes,"Difficulty in learning, remembering or concentrating",Laois,2395,,Kilkenny,11939,,,
Both sexes,"Difficulty in learning, remembering or concentrating",Longford,1222,,Laois,10217,,,
Both sexes,"Difficulty in learning, remembering or concentrating",Louth,3617,,Longford,5404,,,
Both sexes,"Difficulty in learning, remembering or concentrating",Meath,4546,,Louth,15932,,,
Both sexes,"Difficulty in learning, remembering or concentrating",Offaly,2301,,Meath,19669,,,
Both sexes,"Difficulty in learning, remembering or concentrating",Westmeath,2682,,Offaly,10253,,,
Both sexes,"Difficulty in learning, remembering or concentrating",Wexford,4731,,Westmeath,11303,,,
Both sexes,"Difficulty in learning, remembering or concentrating",Wicklow,4299,,Wexford,20134,,,
Both sexes,"Difficulty in learning, remembering or concentrating",Munster,38123,,Wicklow,17616,,,
Both sexes,"Difficulty in learning, remembering or concentrating",Clare,3399,,Munster,167953,,,
Both sexes,"Difficulty in learning, remembering or concentrating",Cork,15678,,Clare,14775,,,
Both sexes,"Difficulty in learning, remembering or concentrating",Cork City,4671,,Cork,68372,,,
Both sexes,"Difficulty in learning, remembering or concentrating",Cork County,11007,,Cork City,21098,,,
Both sexes,"Difficulty in learning, remembering or concentrating",Kerry,4373,,Cork County,47274,,,
Both sexes,"Difficulty in learning, remembering or concentrating",Limerick,6149,,Kerry,19168,,,
Both sexes,"Difficulty in learning, remembering or concentrating",Limerick City,2216,,Limerick,27343,,,
Both sexes,"Difficulty in learning, remembering or concentrating",Limerick County,3933,,Limerick City,10365,,,
Both sexes,"Difficulty in learning, remembering or concentrating",Tipperary,5190,,Limerick County,16978,,,
Both sexes,"Difficulty in learning, remembering or concentrating",Waterford,3334,,Tipperary,9659,,,
Both sexes,"Difficulty in learning, remembering or concentrating",Waterford City,1489,,South Tipperary,13001,,,
Both sexes,"Difficulty in learning, remembering or concentrating",Waterford County,1845,,Waterford,15635,,,
Both sexes,"Difficulty in learning, remembering or concentrating",Connacht,16375,,Waterford City,7144,,,
Both sexes,"Difficulty in learning, remembering or concentrating",Galway,7057,,Waterford County,8491,,,
Both sexes,"Difficulty in learning, remembering or concentrating",Galway City,2084,,Connacht,70181,,,
Both sexes,"Difficulty in learning, remembering or concentrating",Galway County,4973,,Galway,30175,,,
Both sexes,"Difficulty in learning, remembering or concentrating",Leitrim,909,,Galway City,8989,,,
Both sexes,"Difficulty in learning, remembering or concentrating",Mayo,4158,,Galway County,21186,,,
Both sexes,"Difficulty in learning, remembering or concentrating",Roscommon,1936,,Leitrim,4289,,,
Both sexes,"Difficulty in learning, remembering or concentrating",Sligo,2315,,Mayo,17710,,,
Both sexes,"Difficulty in learning, remembering or concentrating",Ulster (part of),8881,,Roscommon,8759,,,
Both sexes,"Difficulty in learning, remembering or concentrating",Cavan,2012,,Sligo,9248,,,
Both sexes,"Difficulty in learning, remembering or concentrating",Donegal,5122,,Ulster (part of),38544,,,
Both sexes,"Difficulty in learning, remembering or concentrating",Monaghan,1747,,Cavan,8714,,,
Both sexes,"Difficulty in learning, remembering or concentrating",State,137070,,Donegal,22646,,,
Both sexes,Psychological or emotional condition,Leinster,52919,,Monaghan,7184,,,
Both sexes,Psychological or emotional condition,Carlow,1125,,State,595335,,,
Both sexes,Psychological or emotional condition,Dublin,28688,,,,,,
Both sexes,Psychological or emotional condition,Dublin City,13941,,,,,,
Both sexes,Psychological or emotional condition,Dun Laoghaire-Rathdown,3929,,,,,,
Both sexes,Psychological or emotional condition,Fingal,5098,,,,,,
Both sexes,Psychological or emotional condition,South Dublin,5720,,,,,,
Both sexes,Psychological or emotional condition,Kildare,3998,,,,,,
Both sexes,Psychological or emotional condition,Kilkenny,1795,,,,,,
Both sexes,Psychological or emotional condition,Laois,1662,,,,,,
Both sexes,Psychological or emotional condition,Longford,822,,,,,,
Both sexes,Psychological or emotional condition,Louth,2562,,,,,,
Both sexes,Psychological or emotional condition,Meath,3153,,,,,,
Both sexes,Psychological or emotional condition,Offaly,1459,,,,,,
Both sexes,Psychological or emotional condition,Westmeath,1901,,,,,,
Both sexes,Psychological or emotional condition,Wexford,2898,,,,,,
Both sexes,Psychological or emotional condition,Wicklow,2856,,,,,,
Both sexes,Psychological or emotional condition,Munster,26643,,,,,,
Both sexes,Psychological or emotional condition,Clare,2181,,,,,,
Both sexes,Psychological or emotional condition,Cork,11194,,,,,,
Both sexes,Psychological or emotional condition,Cork City,3803,,,,,,
Both sexes,Psychological or emotional condition,Cork County,7391,,,,,,
Both sexes,Psychological or emotional condition,Kerry,2921,,,,,,
Both sexes,Psychological or emotional condition,Limerick,4501,,,,,,
Both sexes,Psychological or emotional condition,Limerick City,1932,,,,,,
Both sexes,Psychological or emotional condition,Limerick County,2569,,,,,,
Both sexes,Psychological or emotional condition,Tipperary,3434,,,,,,
Both sexes,Psychological or emotional condition,Waterford,2412,,,,,,
Both sexes,Psychological or emotional condition,Waterford City,1195,,,,,,
Both sexes,Psychological or emotional condition,Waterford County,1217,,,,,,
Both sexes,Psychological or emotional condition,Connacht,11089,,,,,,
Both sexes,Psychological or emotional condition,Galway,4935,,,,,,
Both sexes,Psychological or emotional condition,Galway City,1753,,,,,,
Both sexes,Psychological or emotional condition,Galway County,3182,,,,,,
Both sexes,Psychological or emotional condition,Leitrim,638,,,,,,
Both sexes,Psychological or emotional condition,Mayo,2578,,,,,,
Both sexes,Psychological or emotional condition,Roscommon,1340,,,,,,
Both sexes,Psychological or emotional condition,Sligo,1598,,,,,,
Both sexes,Psychological or emotional condition,Ulster (part of),5353,,,,,,
Both sexes,Psychological or emotional condition,Cavan,1168,,,,,,
Both sexes,Psychological or emotional condition,Donegal,3126,,,,,,
Both sexes,Psychological or emotional condition,Monaghan,1059,,,,,,
Both sexes,Psychological or emotional condition,State,96004,,,,,,
Both sexes,"Other disability, including chronic illness",Leinster,149676,,,,,,
Both sexes,"Other disability, including chronic illness",Carlow,3440,,,,,,
Both sexes,"Other disability, including chronic illness",Dublin,77813,,,,,,
Both sexes,"Other disability, including chronic illness",Dublin City,37676,,,,,,
Both sexes,"Other disability, including chronic illness",Dun Laoghaire-Rathdown,11551,,,,,,
Both sexes,"Other disability, including chronic illness",Fingal,13062,,,,,,
Both sexes,"Other disability, including chronic illness",South Dublin,15524,,,,,,
Both sexes,"Other disability, including chronic illness",Kildare,11591,,,,,,
Both sexes,"Other disability, including chronic illness",Kilkenny,5490,,,,,,
Both sexes,"Other disability, including chronic illness",Laois,4699,,,,,,
Both sexes,"Other disability, including chronic illness",Longford,2517,,,,,,
Both sexes,"Other disability, including chronic illness",Louth,7308,,,,,,
Both sexes,"Other disability, including chronic illness",Meath,9048,,,,,,
Both sexes,"Other disability, including chronic illness",Offaly,4868,,,,,,
Both sexes,"Other disability, including chronic illness",Westmeath,5259,,,,,,
Both sexes,"Other disability, including chronic illness",Wexford,9422,,,,,,
Both sexes,"Other disability, including chronic illness",Wicklow,8221,,,,,,
Both sexes,"Other disability, including chronic illness",Munster,75994,,,,,,
Both sexes,"Other disability, including chronic illness",Clare,6649,,,,,,
Both sexes,"Other disability, including chronic illness",Cork,30523,,,,,,
Both sexes,"Other disability, including chronic illness",Cork City,9647,,,,,,
Both sexes,"Other disability, including chronic illness",Cork County,20876,,,,,,
Both sexes,"Other disability, including chronic illness",Kerry,8334,,,,,,
Both sexes,"Other disability, including chronic illness",Limerick,12652,,,,,,
Both sexes,"Other disability, including chronic illness",Limerick City,5019,,,,,,
Both sexes,"Other disability, including chronic illness",Limerick County,7633,,,,,,
Both sexes,"Other disability, including chronic illness",Tipperary,10708,,,,,,
Both sexes,"Other disability, including chronic illness",Waterford,7128,,,,,,
Both sexes,"Other disability, including chronic illness",Waterford City,3324,,,,,,
Both sexes,"Other disability, including chronic illness",Waterford County,3804,,,,,,
Both sexes,"Other disability, including chronic illness",Connacht,31677,,,,,,
Both sexes,"Other disability, including chronic illness",Galway,13557,,,,,,
Both sexes,"Other disability, including chronic illness",Galway City,4025,,,,,,
Both sexes,"Other disability, including chronic illness",Galway County,9532,,,,,,
Both sexes,"Other disability, including chronic illness",Leitrim,1928,,,,,,
Both sexes,"Other disability, including chronic illness",Mayo,7976,,,,,,
Both sexes,"Other disability, including chronic illness",Roscommon,4043,,,,,,
Both sexes,"Other disability, including chronic illness",Sligo,4173,,,,,,
Both sexes,"Other disability, including chronic illness",Ulster (part of),17415,,,,,,
Both sexes,"Other disability, including chronic illness",Cavan,3921,,,,,,
Both sexes,"Other disability, including chronic illness",Donegal,10304,,,,,,
Both sexes,"Other disability, including chronic illness",Monaghan,3190,,,,,,
Both sexes,"Other disability, including chronic illness",State,274762,,,,,,
Both sexes,"Difficulty in dressing, bathing or getting around inside the home",Leinster,62652,,,,,,
Both sexes,"Difficulty in dressing, bathing or getting around inside the home",Carlow,1489,,,,,,
Both sexes,"Difficulty in dressing, bathing or getting around inside the home",Dublin,30979,,,,,,
Both sexes,"Difficulty in dressing, bathing or getting around inside the home",Dublin City,15166,,,,,,
Both sexes,"Difficulty in dressing, bathing or getting around inside the home",Dun Laoghaire-Rathdown,4672,,,,,,
Both sexes,"Difficulty in dressing, bathing or getting around inside the home",Fingal,5247,,,,,,
Both sexes,"Difficulty in dressing, bathing or getting around inside the home",South Dublin,5894,,,,,,
Both sexes,"Difficulty in dressing, bathing or getting around inside the home",Kildare,4745,,,,,,
Both sexes,"Difficulty in dressing, bathing or getting around inside the home",Kilkenny,2668,,,,,,
Both sexes,"Difficulty in dressing, bathing or getting around inside the home",Laois,2081,,,,,,
Both sexes,"Difficulty in dressing, bathing or getting around inside the home",Longford,1195,,,,,,
Both sexes,"Difficulty in dressing, bathing or getting around inside the home",Louth,3596,,,,,,
Both sexes,"Difficulty in dressing, bathing or getting around inside the home",Meath,3850,,,,,,
Both sexes,"Difficulty in dressing, bathing or getting around inside the home",Offaly,2204,,,,,,
Both sexes,"Difficulty in dressing, bathing or getting around inside the home",Westmeath,2520,,,,,,
Both sexes,"Difficulty in dressing, bathing or getting around inside the home",Wexford,3952,,,,,,
Both sexes,"Difficulty in dressing, bathing or getting around inside the home",Wicklow,3373,,,,,,
Both sexes,"Difficulty in dressing, bathing or getting around inside the home",Munster,36523,,,,,,
Both sexes,"Difficulty in dressing, bathing or getting around inside the home",Clare,3134,,,,,,
Both sexes,"Difficulty in dressing, bathing or getting around inside the home",Cork,14735,,,,,,
Both sexes,"Difficulty in dressing, bathing or getting around inside the home",Cork City,4337,,,,,,
Both sexes,"Difficulty in dressing, bathing or getting around inside the home",Cork County,10398,,,,,,
Both sexes,"Difficulty in dressing, bathing or getting around inside the home",Kerry,4439,,,,,,
Both sexes,"Difficulty in dressing, bathing or getting around inside the home",Limerick,5997,,,,,,
Both sexes,"Difficulty in dressing, bathing or getting around inside the home",Limerick City,2044,,,,,,
Both sexes,"Difficulty in dressing, bathing or getting around inside the home",Limerick County,3953,,,,,,
Both sexes,"Difficulty in dressing, bathing or getting around inside the home",Tipperary,4977,,,,,,
Both sexes,"Difficulty in dressing, bathing or getting around inside the home",Waterford,3241,,,,,,
Both sexes,"Difficulty in dressing, bathing or getting around inside the home",Waterford City,1495,,,,,,
Both sexes,"Difficulty in dressing, bathing or getting around inside the home",Waterford County,1746,,,,,,
Both sexes,"Difficulty in dressing, bathing or getting around inside the home",Connacht,17117,,,,,,
Both sexes,"Difficulty in dressing, bathing or getting around inside the home",Galway,6990,,,,,,
Both sexes,"Difficulty in dressing, bathing or getting around inside the home",Galway City,1645,,,,,,
Both sexes,"Difficulty in dressing, bathing or getting around inside the home",Galway County,5345,,,,,,
Both sexes,"Difficulty in dressing, bathing or getting around inside the home",Leitrim,982,,,,,,
Both sexes,"Difficulty in dressing, bathing or getting around inside the home",Mayo,4622,,,,,,
Both sexes,"Difficulty in dressing, bathing or getting around inside the home",Roscommon,2204,,,,,,
Both sexes,"Difficulty in dressing, bathing or getting around inside the home",Sligo,2319,,,,,,
Both sexes,"Difficulty in dressing, bathing or getting around inside the home",Ulster (part of),9158,,,,,,
Both sexes,"Difficulty in dressing, bathing or getting around inside the home",Cavan,2146,,,,,,
Both sexes,"Difficulty in dressing, bathing or getting around inside the home",Donegal,5169,,,,,,
Both sexes,"Difficulty in dressing, bathing or getting around inside the home",Monaghan,1843,,,,,,
Both sexes,"Difficulty in dressing, bathing or getting around inside the home",State,125450,,,,,,
Both sexes,Difficulty in going outside home alone,Leinster,83882,,,,,,
Both sexes,Difficulty in going outside home alone,Carlow,1977,,,,,,
Both sexes,Difficulty in going outside home alone,Dublin,42635,,,,,,
Both sexes,Difficulty in going outside home alone,Dublin City,21423,,,,,,
Both sexes,Difficulty in going outside home alone,Dun Laoghaire-Rathdown,6368,,,,,,
Both sexes,Difficulty in going outside home alone,Fingal,6836,,,,,,
Both sexes,Difficulty in going outside home alone,South Dublin,8008,,,,,,
Both sexes,Difficulty in going outside home alone,Kildare,6048,,,,,,
Both sexes,Difficulty in going outside home alone,Kilkenny,3499,,,,,,
Both sexes,Difficulty in going outside home alone,Laois,2706,,,,,,
Both sexes,Difficulty in going outside home alone,Longford,1575,,,,,,
Both sexes,Difficulty in going outside home alone,Louth,4692,,,,,,
Both sexes,Difficulty in going outside home alone,Meath,5038,,,,,,
Both sexes,Difficulty in going outside home alone,Offaly,2836,,,,,,
Both sexes,Difficulty in going outside home alone,Westmeath,3326,,,,,,
Both sexes,Difficulty in going outside home alone,Wexford,5180,,,,,,
Both sexes,Difficulty in going outside home alone,Wicklow,4370,,,,,,
Both sexes,Difficulty in going outside home alone,Munster,47987,,,,,,
Both sexes,Difficulty in going outside home alone,Clare,4083,,,,,,
Both sexes,Difficulty in going outside home alone,Cork,19468,,,,,,
Both sexes,Difficulty in going outside home alone,Cork City,6174,,,,,,
Both sexes,Difficulty in going outside home alone,Cork County,13294,,,,,,
Both sexes,Difficulty in going outside home alone,Kerry,5806,,,,,,
Both sexes,Difficulty in going outside home alone,Limerick,7917,,,,,,
Both sexes,Difficulty in going outside home alone,Limerick City,2803,,,,,,
Both sexes,Difficulty in going outside home alone,Limerick County,5114,,,,,,
Both sexes,Difficulty in going outside home alone,Tipperary,6417,,,,,,
Both sexes,Difficulty in going outside home alone,Waterford,4296,,,,,,
Both sexes,Difficulty in going outside home alone,Waterford City,2025,,,,,,
Both sexes,Difficulty in going outside home alone,Waterford County,2271,,,,,,
Both sexes,Difficulty in going outside home alone,Connacht,22055,,,,,,
Both sexes,Difficulty in going outside home alone,Galway,9062,,,,,,
Both sexes,Difficulty in going outside home alone,Galway City,2192,,,,,,
Both sexes,Difficulty in going outside home alone,Galway County,6870,,,,,,
Both sexes,Difficulty in going outside home alone,Leitrim,1275,,,,,,
Both sexes,Difficulty in going outside home alone,Mayo,5927,,,,,,
Both sexes,Difficulty in going outside home alone,Roscommon,2763,,,,,,
Both sexes,Difficulty in going outside home alone,Sligo,3028,,,,,,
Both sexes,Difficulty in going outside home alone,Ulster (part of),11757,,,,,,
Both sexes,Difficulty in going outside home alone,Cavan,2677,,,,,,
Both sexes,Difficulty in going outside home alone,Donegal,6770,,,,,,
Both sexes,Difficulty in going outside home alone,Monaghan,2310,,,,,,
Both sexes,Difficulty in going outside home alone,State,165681,,,,,,
Both sexes,Difficulty in working or attending school/college,Leinster,99789,,,,,,
Both sexes,Difficulty in working or attending school/college,Carlow,2579,,,,,,
Both sexes,Difficulty in working or attending school/college,Dublin,49214,,,,,,
Both sexes,Difficulty in working or attending school/college,Dublin City,23312,,,,,,
Both sexes,Difficulty in working or attending school/college,Dun Laoghaire-Rathdown,7028,,,,,,
Both sexes,Difficulty in working or attending school/college,Fingal,8718,,,,,,
Both sexes,Difficulty in working or attending school/college,South Dublin,10156,,,,,,
Both sexes,Difficulty in working or attending school/college,Kildare,7689,,,,,,
Both sexes,Difficulty in working or attending school/college,Kilkenny,3938,,,,,,
Both sexes,Difficulty in working or attending school/college,Laois,3339,,,,,,
Both sexes,Difficulty in working or attending school/college,Longford,1878,,,,,,
Both sexes,Difficulty in working or attending school/college,Louth,5364,,,,,,
Both sexes,Difficulty in working or attending school/college,Meath,6432,,,,,,
Both sexes,Difficulty in working or attending school/college,Offaly,3457,,,,,,
Both sexes,Difficulty in working or attending school/college,Westmeath,3805,,,,,,
Both sexes,Difficulty in working or attending school/college,Wexford,6649,,,,,,
Both sexes,Difficulty in working or attending school/college,Wicklow,5445,,,,,,
Both sexes,Difficulty in working or attending school/college,Munster,57078,,,,,,
Both sexes,Difficulty in working or attending school/college,Clare,4706,,,,,,
Both sexes,Difficulty in working or attending school/college,Cork,23208,,,,,,
Both sexes,Difficulty in working or attending school/college,Cork City,6977,,,,,,
Both sexes,Difficulty in working or attending school/college,Cork County,16231,,,,,,
Both sexes,Difficulty in working or attending school/college,Kerry,6613,,,,,,
Both sexes,Difficulty in working or attending school/college,Limerick,9630,,,,,,
Both sexes,Difficulty in working or attending school/college,Limerick City,3434,,,,,,
Both sexes,Difficulty in working or attending school/college,Limerick County,6196,,,,,,
Both sexes,Difficulty in working or attending school/college,Tipperary,7823,,,,,,
Both sexes,Difficulty in working or attending school/college,Waterford,5098,,,,,,
Both sexes,Difficulty in working or attending school/college,Waterford City,2355,,,,,,
Both sexes,Difficulty in working or attending school/college,Waterford County,2743,,,,,,
Both sexes,Difficulty in working or attending school/college,Connacht,24355,,,,,,
Both sexes,Difficulty in working or attending school/college,Galway,10357,,,,,,
Both sexes,Difficulty in working or attending school/college,Galway City,2732,,,,,,
Both sexes,Difficulty in working or attending school/college,Galway County,7625,,,,,,
Both sexes,Difficulty in working or attending school/college,Leitrim,1514,,,,,,
Both sexes,Difficulty in working or attending school/college,Mayo,6343,,,,,,
Both sexes,Difficulty in working or attending school/college,Roscommon,2862,,,,,,
Both sexes,Difficulty in working or attending school/college,Sligo,3279,,,,,,
Both sexes,Difficulty in working or attending school/college,Ulster (part of),13176,,,,,,
Both sexes,Difficulty in working or attending school/college,Cavan,2961,,,,,,
Both sexes,Difficulty in working or attending school/college,Donegal,7531,,,,,,
Both sexes,Difficulty in working or attending school/college,Monaghan,2684,,,,,,
Both sexes,Difficulty in working or attending school/college,State,194398,,,,,,
Both sexes,Difficulty in participating in other activities,Leinster,107077,,,,,,
Both sexes,Difficulty in participating in other activities,Carlow,2500,,,,,,
Both sexes,Difficulty in participating in other activities,Dublin,54040,,,,,,
Both sexes,Difficulty in participating in other activities,Dublin City,25922,,,,,,
Both sexes,Difficulty in participating in other activities,Dun Laoghaire-Rathdown,8349,,,,,,
Both sexes,Difficulty in participating in other activities,Fingal,9014,,,,,,
Both sexes,Difficulty in participating in other activities,South Dublin,10755,,,,,,
Both sexes,Difficulty in participating in other activities,Kildare,8075,,,,,,
Both sexes,Difficulty in participating in other activities,Kilkenny,4260,,,,,,
Both sexes,Difficulty in participating in other activities,Laois,3426,,,,,,
Both sexes,Difficulty in participating in other activities,Longford,1906,,,,,,
Both sexes,Difficulty in participating in other activities,Louth,5829,,,,,,
Both sexes,Difficulty in participating in other activities,Meath,6710,,,,,,
Both sexes,Difficulty in participating in other activities,Offaly,3570,,,,,,
Both sexes,Difficulty in participating in other activities,Westmeath,4108,,,,,,
Both sexes,Difficulty in participating in other activities,Wexford,6862,,,,,,
Both sexes,Difficulty in participating in other activities,Wicklow,5791,,,,,,
Both sexes,Difficulty in participating in other activities,Munster,59751,,,,,,
Both sexes,Difficulty in participating in other activities,Clare,5154,,,,,,
Both sexes,Difficulty in participating in other activities,Cork,24313,,,,,,
Both sexes,Difficulty in participating in other activities,Cork City,7410,,,,,,
Both sexes,Difficulty in participating in other activities,Cork County,16903,,,,,,
Both sexes,Difficulty in participating in other activities,Kerry,6952,,,,,,
Both sexes,Difficulty in participating in other activities,Limerick,9789,,,,,,
Both sexes,Difficulty in participating in other activities,Limerick City,3475,,,,,,
Both sexes,Difficulty in participating in other activities,Limerick County,6314,,,,,,
Both sexes,Difficulty in participating in other activities,Tipperary,3541,,,,,,
Both sexes,Difficulty in participating in other activities,South Tipperary,4663,,,,,,
Both sexes,Difficulty in participating in other activities,Waterford,5339,,,,,,
Both sexes,Difficulty in participating in other activities,Waterford City,2419,,,,,,
Both sexes,Difficulty in participating in other activities,Waterford County,2920,,,,,,
Both sexes,Difficulty in participating in other activities,Connacht,26396,,,,,,
Both sexes,Difficulty in participating in other activities,Galway,11020,,,,,,
Both sexes,Difficulty in participating in other activities,Galway City,2854,,,,,,
Both sexes,Difficulty in participating in other activities,Galway County,8166,,,,,,
Both sexes,Difficulty in participating in other activities,Leitrim,1588,,,,,,
Both sexes,Difficulty in participating in other activities,Mayo,7045,,,,,,
Both sexes,Difficulty in participating in other activities,Roscommon,3198,,,,,,
Both sexes,Difficulty in participating in other activities,Sligo,3545,,,,,,
Both sexes,Difficulty in participating in other activities,Ulster (part of),14231,,,,,,
Both sexes,Difficulty in participating in other activities,Cavan,3228,,,,,,
Both sexes,Difficulty in participating in other activities,Donegal,8234,,,,,,
Both sexes,Difficulty in participating in other activities,Monaghan,2769,,,,,,
Both sexes,Difficulty in participating in other activities,State,207455,,,,,,
Both sexes,Total disabilities,Leinster,860987,,,,,,
Both sexes,Total disabilities,Carlow,20262,,,,,,
Both sexes,Total disabilities,Dublin,438462,,,,,,
Both sexes,Total disabilities,Dublin City,213461,,,,,,
Both sexes,Total disabilities,Dun Laoghaire-Rathdown,65640,,,,,,
Both sexes,Total disabilities,Fingal,73311,,,,,,
Both sexes,Total disabilities,South Dublin,86050,,,,,,
Both sexes,Total disabilities,Kildare,65181,,,,,,
Both sexes,Total disabilities,Kilkenny,33720,,,,,,
Both sexes,Total disabilities,Laois,27756,,,,,,
Both sexes,Total disabilities,Longford,15323,,,,,,
Both sexes,Total disabilities,Louth,45522,,,,,,
Both sexes,Total disabilities,Meath,52586,,,,,,
Both sexes,Total disabilities,Offaly,28484,,,,,,
Both sexes,Total disabilities,Westmeath,32396,,,,,,
Both sexes,Total disabilities,Wexford,54665,,,,,,
Both sexes,Total disabilities,Wicklow,46630,,,,,,
Both sexes,Total disabilities,Munster,470815,,,,,,
Both sexes,Total disabilities,Clare,40458,,,,,,
Both sexes,Total disabilities,Cork,191076,,,,,,
Both sexes,Total disabilities,Cork City,59723,,,,,,
Both sexes,Total disabilities,Cork County,131353,,,,,,
Both sexes,Total disabilities,Kerry,54432,,,,,,
Both sexes,Total disabilities,Limerick,77615,,,,,,
Both sexes,Total disabilities,Limerick City,28841,,,,,,
Both sexes,Total disabilities,Limerick County,48774,,,,,,
Both sexes,Total disabilities,Tipperary,64474,,,,,,
Both sexes,Total disabilities,Waterford,42760,,,,,,
Both sexes,Total disabilities,Waterford City,19697,,,,,,
Both sexes,Total disabilities,Waterford County,23063,,,,,,
Both sexes,Total disabilities,Connacht,204735,,,,,,
Both sexes,Total disabilities,Galway,85779,,,,,,
Both sexes,Total disabilities,Galway City,23333,,,,,,
Both sexes,Total disabilities,Galway County,62446,,,,,,
Both sexes,Total disabilities,Leitrim,12156,,,,,,
Both sexes,Total disabilities,Mayo,53564,,,,,,
Both sexes,Total disabilities,Roscommon,25514,,,,,,
Both sexes,Total disabilities,Sligo,27722,,,,,,
